age_group,gender,personality_type,habit_name,frequency_per_week,duration_minutes,motivation_level,past_consistency,success_likelihood
Teen,Female,Extrovert,Write journal,5,30,High,Medium,Likely
Teen,Male,Extrovert,Study 1 hour,5,30,Low,Low,Unlikely
Teen,Female,Extrovert,Do yoga,5,11,High,High,Very Likely
Senior,Other,Ambivert,Do yoga,3,14,Low,High,Unlikely
Teen,Other,Ambivert,Practice guitar,3,9,High,Low,Unlikely
Teen,Male,Introvert,Do yoga,6,51,Low,Low,Unlikely
Teen,Other,Extrovert,Meditate,4,16,Low,High,Unlikely
Senior,Male,Ambivert,Sketch something,2,36,Low,Low,Unlikely
Teen,Female,Extrovert,Sketch something,5,46,Low,High,Likely
Teen,Female,Ambivert,Practice guitar,2,35,High,High,Very Likely
Senior,Female,Ambivert,Read a book,7,26,Low,Low,Unlikely
Senior,Other,Introvert,Sketch something,6,21,Low,Medium,Unlikely
Senior,Male,Introvert,Meditate,1,24,Low,Medium,Unlikely
Teen,Female,Ambivert,Go for a run,6,24,High,Medium,Likely
Senior,Male,Introvert,Read a book,3,47,Low,Medium,Unlikely
Senior,Female,Ambivert,Study 1 hour,4,12,High,Medium,Unlikely
Teen,Other,Ambivert,Walk the dog,1,51,Medium,Medium,Unlikely
Senior,Other,Extrovert,Cook a new recipe,2,38,High,Medium,Likely
Teen,Male,Introvert,Do yoga,3,53,Medium,Low,Unlikely
Adult,Other,Introvert,Do yoga,5,27,Low,Low,Unlikely
Senior,Other,Introvert,Go for a run,1,42,Low,Medium,Unlikely
Adult,Male,Extrovert,Read a book,3,57,High,Low,Likely
Teen,Female,Extrovert,Practice guitar,2,32,Low,High,Likely
Senior,Other,Extrovert,Meditate,6,17,Low,Medium,Unlikely
Teen,Male,Introvert,Go for a run,2,33,High,High,Very Likely
Adult,Other,Introvert,Cook a new recipe,1,12,Low,Low,Unlikely
Teen,Other,Introvert,Sketch something,1,15,Medium,Medium,Unlikely
Senior,Other,Extrovert,Practice guitar,6,51,Medium,High,Likely
Senior,Other,Extrovert,Walk the dog,1,49,Low,Low,Unlikely
Adult,Male,Ambivert,Practice guitar,4,22,Low,Medium,Unlikely
Teen,Male,Extrovert,Go for a run,5,54,Medium,Medium,Unlikely
Senior,Male,Ambivert,Study 1 hour,3,29,Low,High,Unlikely
Adult,Other,Introvert,Go for a run,6,53,Medium,High,Likely
Senior,Other,Extrovert,Go for a run,2,26,High,High,Likely
Senior,Other,Introvert,Go for a run,2,49,Medium,Low,Unlikely
Teen,Male,Introvert,Practice guitar,5,39,Low,High,Likely
Senior,Other,Introvert,Go for a run,1,33,Low,High,Likely
Teen,Female,Introvert,Read a book,1,25,Medium,High,Unlikely
Senior,Other,Extrovert,Practice guitar,2,60,Medium,Medium,Unlikely
Adult,Female,Introvert,Sketch something,5,11,Low,High,Likely
Senior,Other,Ambivert,Read a book,2,16,Low,High,Unlikely
Teen,Male,Extrovert,Cook a new recipe,1,40,Low,Low,Unlikely
Teen,Other,Introvert,Sketch something,6,28,High,Low,Likely
Adult,Female,Extrovert,Walk the dog,3,36,High,High,Very Likely
Senior,Female,Ambivert,Do yoga,1,31,Medium,Low,Unlikely
Senior,Other,Introvert,Practice guitar,6,36,Medium,Low,Unlikely
Adult,Female,Ambivert,Do yoga,3,36,High,Low,Likely
Senior,Female,Introvert,Practice guitar,7,36,High,Medium,Likely
Senior,Male,Ambivert,Sketch something,4,30,Medium,High,Likely
Teen,Other,Introvert,Walk the dog,5,15,High,High,Very Likely
Senior,Other,Extrovert,Meditate,6,50,Medium,High,Likely
Senior,Other,Introvert,Meditate,4,22,Low,Low,Unlikely
Adult,Female,Extrovert,Read a book,1,43,Medium,Low,Unlikely
Adult,Other,Introvert,Go for a run,7,9,High,Low,Likely
Teen,Other,Introvert,Go for a run,5,20,High,Medium,Likely
Senior,Male,Ambivert,Meditate,6,15,High,Low,Likely
Senior,Male,Ambivert,Sketch something,7,58,Medium,Medium,Unlikely
Senior,Male,Ambivert,Walk the dog,1,39,High,High,Very Likely
Teen,Female,Introvert,Read a book,5,52,Medium,Low,Unlikely
Teen,Other,Introvert,Sketch something,5,15,Low,Medium,Unlikely
Adult,Male,Introvert,Go for a run,1,46,Low,Medium,Unlikely
Teen,Male,Extrovert,Read a book,1,27,High,Low,Unlikely
Senior,Male,Extrovert,Do yoga,7,59,Medium,Medium,Unlikely
Senior,Other,Introvert,Write journal,7,38,Medium,Low,Unlikely
Teen,Other,Ambivert,Cook a new recipe,6,52,High,Medium,Likely
Senior,Other,Ambivert,Read a book,5,21,Medium,High,Likely
Senior,Female,Ambivert,Go for a run,6,14,High,High,Very Likely
Teen,Female,Introvert,Sketch something,7,22,High,High,Very Likely
Teen,Male,Ambivert,Do yoga,5,48,Low,Low,Unlikely
Senior,Other,Introvert,Cook a new recipe,6,12,High,High,Very Likely
Senior,Male,Extrovert,Cook a new recipe,1,30,Medium,High,Likely
Senior,Other,Ambivert,Read a book,1,7,High,High,Likely
Adult,Other,Extrovert,Cook a new recipe,2,56,Low,Low,Unlikely
Adult,Other,Ambivert,Do yoga,7,28,Low,Medium,Unlikely
Adult,Female,Introvert,Walk the dog,6,7,Medium,Low,Unlikely
Teen,Female,Introvert,Sketch something,2,42,High,Low,Likely
Adult,Other,Introvert,Read a book,2,6,Medium,High,Unlikely
Teen,Male,Introvert,Cook a new recipe,4,39,Medium,Medium,Unlikely
Teen,Other,Ambivert,Walk the dog,5,21,High,High,Very Likely
Adult,Other,Extrovert,Sketch something,3,13,Low,High,Unlikely
Adult,Male,Introvert,Practice guitar,4,40,Medium,Low,Unlikely
Adult,Other,Ambivert,Walk the dog,7,26,Medium,Low,Unlikely
Senior,Male,Extrovert,Practice guitar,5,35,Low,Low,Unlikely
Adult,Female,Introvert,Practice guitar,3,59,High,High,Very Likely
Senior,Female,Extrovert,Walk the dog,2,38,High,Medium,Likely
Teen,Male,Introvert,Cook a new recipe,3,28,High,Medium,Unlikely
Senior,Female,Extrovert,Practice guitar,1,13,Low,High,Unlikely
Adult,Female,Extrovert,Cook a new recipe,7,50,Medium,Medium,Unlikely
Teen,Male,Introvert,Cook a new recipe,1,47,Low,High,Likely
Teen,Female,Ambivert,Sketch something,6,6,Medium,Medium,Unlikely
Teen,Other,Extrovert,Study 1 hour,5,25,Medium,High,Likely
Senior,Other,Introvert,Do yoga,4,38,High,Medium,Likely
Adult,Male,Extrovert,Cook a new recipe,7,31,High,Low,Likely
Teen,Female,Extrovert,Sketch something,2,41,High,Low,Likely
Teen,Other,Ambivert,Write journal,7,11,Low,Low,Unlikely
Teen,Other,Extrovert,Practice guitar,5,26,High,Low,Likely
Senior,Female,Extrovert,Read a book,2,8,Low,High,Unlikely
Senior,Female,Introvert,Cook a new recipe,1,18,High,Medium,Unlikely
Adult,Other,Introvert,Walk the dog,7,38,High,High,Very Likely
Senior,Other,Ambivert,Practice guitar,4,27,High,Low,Unlikely
Teen,Male,Extrovert,Practice guitar,4,48,Low,Medium,Unlikely
Adult,Male,Extrovert,Write journal,1,46,Medium,High,Likely
Teen,Other,Extrovert,Read a book,3,29,Low,Low,Unlikely
Teen,Male,Ambivert,Sketch something,4,5,Low,Medium,Unlikely
Senior,Other,Extrovert,Write journal,3,55,Low,Medium,Unlikely
Adult,Other,Introvert,Do yoga,2,59,Medium,Low,Unlikely
Senior,Male,Ambivert,Practice guitar,4,52,Low,Low,Unlikely
Senior,Male,Introvert,Cook a new recipe,6,19,High,Medium,Likely
Adult,Female,Introvert,Cook a new recipe,1,36,Medium,Low,Unlikely
Teen,Female,Ambivert,Write journal,7,18,Low,High,Likely
Teen,Female,Introvert,Do yoga,3,45,Low,Low,Unlikely
Adult,Other,Extrovert,Meditate,6,25,Medium,Low,Unlikely
Teen,Male,Ambivert,Go for a run,2,59,Low,Low,Unlikely
Adult,Other,Introvert,Walk the dog,2,51,Medium,Medium,Unlikely
Adult,Male,Extrovert,Walk the dog,4,11,High,Medium,Unlikely
Senior,Other,Extrovert,Meditate,4,40,Low,Low,Unlikely
Adult,Female,Introvert,Practice guitar,6,25,Low,Medium,Unlikely
Senior,Female,Extrovert,Sketch something,5,54,High,Low,Likely
Teen,Female,Ambivert,Read a book,5,44,Low,High,Likely
Teen,Other,Introvert,Meditate,4,16,Low,Medium,Unlikely
Teen,Male,Extrovert,Do yoga,5,19,Medium,Low,Unlikely
Teen,Male,Extrovert,Cook a new recipe,1,19,Low,Medium,Unlikely
Senior,Female,Introvert,Go for a run,6,21,High,High,Very Likely
Teen,Female,Introvert,Practice guitar,1,38,Low,High,Likely
Adult,Female,Introvert,Go for a run,5,48,Medium,Low,Unlikely
Adult,Female,Introvert,Read a book,4,39,High,Medium,Likely
Adult,Male,Ambivert,Cook a new recipe,1,43,High,High,Very Likely
Senior,Other,Introvert,Do yoga,2,42,High,Medium,Likely
Teen,Other,Ambivert,Walk the dog,7,18,High,Low,Likely
Teen,Other,Ambivert,Read a book,4,59,Medium,High,Likely
Teen,Other,Introvert,Meditate,6,9,Medium,High,Likely
Senior,Female,Ambivert,Walk the dog,3,34,Medium,Medium,Unlikely
Adult,Female,Introvert,Walk the dog,3,8,Medium,High,Unlikely
Adult,Female,Introvert,Do yoga,4,19,Low,Low,Unlikely
Teen,Other,Extrovert,Meditate,5,43,Medium,Low,Unlikely
Adult,Female,Introvert,Write journal,1,39,Low,High,Likely
Adult,Female,Extrovert,Read a book,1,49,High,Low,Likely
Senior,Male,Ambivert,Sketch something,4,14,Low,High,Unlikely
Senior,Male,Extrovert,Study 1 hour,2,59,Low,High,Likely
Senior,Female,Ambivert,Cook a new recipe,6,6,Low,High,Likely
Senior,Male,Introvert,Do yoga,5,48,Medium,High,Likely
Teen,Male,Ambivert,Cook a new recipe,2,28,Medium,Medium,Unlikely
Senior,Female,Ambivert,Read a book,4,32,High,High,Very Likely
Adult,Female,Introvert,Meditate,4,26,Medium,Low,Unlikely
Teen,Female,Ambivert,Sketch something,2,48,Low,Medium,Unlikely
Adult,Female,Introvert,Study 1 hour,3,36,Medium,Low,Unlikely
Adult,Other,Extrovert,Go for a run,4,35,Medium,High,Likely
Adult,Other,Introvert,Sketch something,6,23,Low,Low,Unlikely
Senior,Female,Introvert,Do yoga,7,55,High,Medium,Likely
Senior,Male,Ambivert,Cook a new recipe,5,25,Medium,Low,Unlikely
Teen,Female,Extrovert,Sketch something,2,7,High,Medium,Unlikely
Teen,Female,Introvert,Practice guitar,3,10,Low,High,Unlikely
Senior,Male,Extrovert,Meditate,2,36,Medium,High,Likely
Adult,Other,Extrovert,Meditate,3,6,High,Low,Unlikely
Teen,Female,Ambivert,Practice guitar,3,28,High,Low,Unlikely
Senior,Female,Introvert,Walk the dog,6,49,Low,High,Likely
Senior,Other,Ambivert,Walk the dog,5,31,Medium,High,Likely
Senior,Other,Introvert,Read a book,4,13,High,Low,Unlikely
Adult,Male,Extrovert,Write journal,3,17,High,High,Likely
Senior,Other,Introvert,Go for a run,4,59,High,Medium,Likely
Senior,Other,Introvert,Practice guitar,5,18,High,Medium,Likely
Senior,Other,Extrovert,Read a book,4,55,High,Low,Likely
Senior,Male,Extrovert,Cook a new recipe,6,15,High,Low,Likely
Teen,Other,Introvert,Practice guitar,6,18,High,High,Very Likely
Teen,Other,Ambivert,Write journal,1,20,High,High,Likely
Senior,Male,Introvert,Practice guitar,6,14,High,Medium,Likely
Adult,Other,Extrovert,Write journal,3,24,High,Low,Unlikely
Teen,Other,Ambivert,Write journal,5,20,Medium,Low,Unlikely
Senior,Male,Extrovert,Write journal,6,38,Low,Low,Unlikely
Teen,Female,Extrovert,Meditate,2,20,Low,Low,Unlikely
Teen,Male,Ambivert,Sketch something,5,18,Low,Medium,Unlikely
Adult,Other,Extrovert,Meditate,3,57,High,Medium,Likely
Senior,Other,Extrovert,Read a book,5,32,Low,Low,Unlikely
Senior,Other,Extrovert,Meditate,6,22,High,Medium,Likely
Adult,Male,Extrovert,Meditate,2,30,Medium,Low,Unlikely
Adult,Other,Extrovert,Cook a new recipe,1,42,Low,Medium,Unlikely
Senior,Other,Extrovert,Practice guitar,3,11,Medium,High,Unlikely
Senior,Male,Extrovert,Meditate,7,49,Medium,Medium,Unlikely
Adult,Female,Extrovert,Study 1 hour,3,38,High,Low,Likely
Teen,Female,Extrovert,Write journal,5,51,Low,High,Likely
Teen,Other,Introvert,Practice guitar,7,53,Medium,Low,Unlikely
Adult,Male,Introvert,Walk the dog,7,49,Low,High,Likely
Teen,Other,Extrovert,Cook a new recipe,4,11,Medium,High,Unlikely
Adult,Male,Introvert,Sketch something,7,37,Medium,Medium,Unlikely
Teen,Male,Ambivert,Cook a new recipe,4,39,High,Medium,Likely
Teen,Female,Introvert,Write journal,7,56,Low,High,Likely
Senior,Female,Extrovert,Practice guitar,2,54,High,High,Very Likely
Senior,Male,Extrovert,Sketch something,1,43,High,High,Very Likely
Teen,Other,Introvert,Go for a run,1,25,High,Low,Unlikely
Teen,Female,Extrovert,Do yoga,7,53,High,Medium,Likely
Senior,Other,Ambivert,Cook a new recipe,5,32,High,Low,Likely
Senior,Female,Ambivert,Sketch something,5,36,Medium,Medium,Unlikely
Senior,Female,Extrovert,Read a book,4,48,Low,Low,Unlikely
Adult,Other,Ambivert,Sketch something,6,20,Low,Medium,Unlikely
Teen,Female,Ambivert,Do yoga,1,60,High,High,Very Likely
Senior,Female,Introvert,Write journal,6,14,Low,High,Likely
Teen,Other,Ambivert,Practice guitar,1,27,Medium,Medium,Unlikely
Adult,Female,Introvert,Go for a run,6,52,High,High,Very Likely
Adult,Female,Extrovert,Read a book,6,56,Medium,High,Likely
Senior,Female,Introvert,Sketch something,1,54,Medium,Low,Unlikely
Adult,Other,Extrovert,Study 1 hour,2,19,High,Medium,Unlikely
Teen,Male,Extrovert,Meditate,2,59,Medium,High,Likely
Senior,Other,Extrovert,Write journal,5,47,High,Medium,Likely
Teen,Male,Extrovert,Cook a new recipe,6,54,Medium,Low,Unlikely
Teen,Female,Extrovert,Cook a new recipe,6,10,Low,Medium,Unlikely
Adult,Male,Introvert,Do yoga,6,37,Low,Low,Unlikely
Adult,Other,Extrovert,Write journal,6,59,Low,Low,Unlikely
Adult,Other,Ambivert,Read a book,6,43,High,Low,Likely
Adult,Female,Ambivert,Walk the dog,4,16,Medium,High,Unlikely
Adult,Male,Extrovert,Go for a run,3,56,Medium,Low,Unlikely
Senior,Female,Ambivert,Read a book,6,40,Low,Medium,Unlikely
Teen,Female,Introvert,Go for a run,4,35,Low,Medium,Unlikely
Teen,Other,Introvert,Practice guitar,2,14,High,High,Likely
Teen,Male,Extrovert,Practice guitar,6,57,High,High,Very Likely
Teen,Male,Extrovert,Write journal,2,38,Medium,Low,Unlikely
Adult,Male,Extrovert,Write journal,5,45,High,Low,Likely
Teen,Male,Ambivert,Cook a new recipe,3,14,High,Low,Unlikely
Senior,Female,Ambivert,Meditate,1,56,High,High,Very Likely
Senior,Female,Introvert,Do yoga,3,15,Low,High,Unlikely
Teen,Other,Ambivert,Meditate,6,18,Low,Medium,Unlikely
Teen,Female,Introvert,Read a book,6,7,Medium,Low,Unlikely
Senior,Female,Ambivert,Cook a new recipe,3,37,High,Low,Likely
Senior,Other,Introvert,Go for a run,3,11,Low,Medium,Unlikely
Adult,Other,Extrovert,Walk the dog,5,8,High,Medium,Likely
Senior,Other,Ambivert,Sketch something,7,43,Medium,Medium,Unlikely
Adult,Female,Introvert,Study 1 hour,2,52,High,Medium,Likely
Adult,Female,Ambivert,Practice guitar,1,14,Medium,Low,Unlikely
Adult,Other,Extrovert,Meditate,7,19,Medium,High,Likely
Adult,Other,Introvert,Do yoga,3,20,Low,Low,Unlikely
Adult,Other,Ambivert,Walk the dog,1,42,High,Medium,Likely
Teen,Female,Ambivert,Walk the dog,3,8,Low,High,Unlikely
Senior,Female,Extrovert,Practice guitar,2,8,High,Low,Unlikely
Adult,Male,Extrovert,Study 1 hour,1,60,High,Medium,Likely
Senior,Female,Introvert,Write journal,7,59,Medium,High,Likely
Senior,Female,Ambivert,Walk the dog,4,40,Medium,High,Likely
Adult,Female,Ambivert,Read a book,2,31,High,High,Very Likely
Teen,Other,Extrovert,Read a book,7,26,Low,Low,Unlikely
Adult,Female,Extrovert,Write journal,1,26,Medium,Medium,Unlikely
Teen,Other,Introvert,Go for a run,3,21,Medium,Low,Unlikely
Senior,Male,Ambivert,Cook a new recipe,7,49,High,Low,Likely
Teen,Male,Ambivert,Write journal,3,38,High,Low,Likely
Teen,Other,Introvert,Study 1 hour,2,36,Medium,High,Likely
Teen,Other,Introvert,Read a book,2,56,Low,Medium,Unlikely
Senior,Other,Extrovert,Walk the dog,7,10,Medium,Low,Unlikely
Senior,Female,Extrovert,Read a book,3,58,High,Medium,Likely
Teen,Male,Introvert,Sketch something,1,37,Medium,High,Likely
Teen,Other,Introvert,Cook a new recipe,7,12,High,Low,Likely
Adult,Female,Ambivert,Do yoga,4,54,Medium,Medium,Unlikely
Teen,Male,Introvert,Sketch something,5,57,High,High,Very Likely
Adult,Female,Introvert,Go for a run,2,40,High,Low,Likely
Teen,Male,Ambivert,Practice guitar,3,9,Low,Low,Unlikely
Adult,Female,Introvert,Sketch something,1,9,High,Medium,Unlikely
Senior,Male,Extrovert,Go for a run,2,51,Medium,Medium,Unlikely
Teen,Male,Extrovert,Go for a run,1,14,High,Low,Unlikely
Teen,Female,Ambivert,Do yoga,2,44,Medium,Low,Unlikely
Teen,Other,Introvert,Practice guitar,3,11,Low,High,Unlikely
Teen,Male,Extrovert,Meditate,1,16,Medium,High,Unlikely
Adult,Other,Extrovert,Write journal,3,34,Low,Low,Unlikely
Teen,Female,Extrovert,Walk the dog,1,29,Low,Medium,Unlikely
Senior,Other,Extrovert,Study 1 hour,2,32,High,Medium,Likely
Senior,Other,Introvert,Study 1 hour,5,47,Low,Low,Unlikely
Teen,Other,Introvert,Study 1 hour,5,17,Medium,High,Likely
Senior,Other,Introvert,Meditate,7,51,Low,Low,Unlikely
Teen,Other,Introvert,Write journal,4,53,Low,Medium,Unlikely
Teen,Male,Extrovert,Study 1 hour,4,26,High,Low,Unlikely
Senior,Male,Ambivert,Write journal,7,58,Medium,Low,Unlikely
Teen,Male,Ambivert,Walk the dog,7,22,Low,High,Likely
Senior,Female,Extrovert,Study 1 hour,6,31,High,Medium,Likely
Adult,Other,Extrovert,Practice guitar,3,12,High,Medium,Unlikely
Teen,Male,Ambivert,Go for a run,1,10,Medium,Low,Unlikely
Adult,Female,Ambivert,Study 1 hour,4,15,High,Medium,Unlikely
Senior,Male,Extrovert,Write journal,2,33,Low,Medium,Unlikely
Adult,Male,Extrovert,Go for a run,7,45,High,Medium,Likely
Adult,Other,Introvert,Do yoga,5,9,Medium,Medium,Unlikely
Senior,Female,Introvert,Study 1 hour,1,11,Medium,High,Unlikely
Adult,Other,Ambivert,Study 1 hour,6,26,High,High,Very Likely
Adult,Other,Extrovert,Sketch something,5,51,Low,High,Likely
Senior,Male,Ambivert,Go for a run,7,57,High,High,Very Likely
Adult,Other,Introvert,Study 1 hour,1,58,Medium,High,Likely
Senior,Female,Introvert,Practice guitar,7,8,High,Medium,Likely
Adult,Other,Ambivert,Walk the dog,4,36,High,Low,Likely
Senior,Other,Introvert,Go for a run,4,23,Low,Low,Unlikely
Senior,Other,Extrovert,Walk the dog,3,49,High,High,Very Likely
Adult,Male,Ambivert,Cook a new recipe,6,37,Low,Medium,Unlikely
Adult,Female,Extrovert,Write journal,1,5,High,High,Likely
Adult,Male,Extrovert,Do yoga,6,58,High,Low,Likely
Teen,Male,Introvert,Sketch something,2,50,Low,Medium,Unlikely
Teen,Male,Extrovert,Practice guitar,6,45,Low,Medium,Unlikely
Teen,Male,Ambivert,Do yoga,7,60,Medium,Medium,Unlikely
Senior,Male,Extrovert,Sketch something,7,48,Low,Low,Unlikely
Adult,Female,Extrovert,Do yoga,4,54,High,Low,Likely
Senior,Other,Extrovert,Do yoga,3,45,Medium,High,Likely
Teen,Male,Extrovert,Read a book,7,12,Low,High,Likely
Adult,Male,Extrovert,Write journal,4,36,Low,Low,Unlikely
Senior,Female,Introvert,Meditate,5,34,Medium,High,Likely
Adult,Female,Ambivert,Sketch something,4,50,High,Low,Likely
Senior,Other,Introvert,Practice guitar,1,32,High,Medium,Likely
Adult,Female,Ambivert,Go for a run,3,45,Medium,High,Likely
Teen,Other,Ambivert,Do yoga,7,56,High,Low,Likely
Teen,Male,Ambivert,Do yoga,1,36,Low,Low,Unlikely
Adult,Male,Ambivert,Sketch something,2,29,High,Low,Unlikely
Senior,Other,Ambivert,Cook a new recipe,2,38,Low,High,Likely
Teen,Female,Extrovert,Meditate,4,37,High,High,Very Likely
Teen,Other,Introvert,Do yoga,3,17,Low,Medium,Unlikely
Teen,Female,Introvert,Study 1 hour,6,29,Medium,High,Likely
Adult,Male,Extrovert,Read a book,3,46,Low,High,Likely
Adult,Female,Ambivert,Walk the dog,3,44,High,High,Very Likely
Senior,Other,Introvert,Read a book,3,43,Low,Medium,Unlikely
Senior,Other,Extrovert,Meditate,4,60,High,Medium,Likely
Senior,Male,Extrovert,Study 1 hour,1,48,High,Medium,Likely
Adult,Female,Introvert,Read a book,4,53,Low,High,Likely
Adult,Female,Introvert,Walk the dog,6,48,High,Low,Likely
Senior,Female,Ambivert,Go for a run,1,52,Medium,High,Likely
Senior,Male,Ambivert,Write journal,6,14,High,Medium,Likely
Adult,Female,Introvert,Go for a run,5,35,Medium,High,Likely
